"乃木坂ちゃん、おはようございます(*'ω'*)。こっちは風が強いだけで雨降ってはないのでまだマシか............。今日もよろしくお願いします(*'ω'*)",4
"動画、見ました!歌うとノリが良くてスラッと歌えるけど、ピアノで弾くところ見ると超難しそう。ジョンからのメッセージ嬉しいですね",5
"みーが嘘つく",3
"ねえ、まじなんなの",3
"確かに頭湧いてるなww。なんでもかんでもラブライブのせいにするなって話",3
"ずるさんおはまる〜(๑°꒵°๑)・*♡。風強いね〜。気をつけてね",5
"次男君こんな時間から昼寝したまぁやっと静かな時間過ごせるから今のうちに夕飯作ってしまおう今日は時間に余裕のある夜を過ごせそうだ",5
"びびったー。勉強してたら急に部屋の電気、パッ!。って消えて一瞬心臓とまるかと思った!。このタイミングでこの時間に、電球切れるとかほんまにやめてほしい!。なんかムダに目覚めたし",4
"おはようございます。13°CΣ(。゚Д゚)気温差大きいですね...体調崩さないよう気をつけてください!私も気を付けます!!。私は補講があるので今日から大学です!休み明けで辛いですが、明日郁くんに会えるのを楽しみにがんばってきます",4
"gm。とゆうか寝てない寝れてない",2
"久々にストレス解消で飲んだら。この有様",2
"食料を買いに...。オープンまで、しばし待機",0
"この顔が総てを物語っているわね",2
"くりったるうつくしい〜〜",1
"次の日またみるwwwwたまに奇跡的にあるんやて。お年玉で半分けーぽっぷ",2
"おはよ!。一昨日のリハビリの後から、脚を引きずって歩いているのだけれど。病友に言わせると、筋肉痛で脚引きずるほどはあり得ないって。この土日、変わらなければ火曜日の診察に行くしかないかな。",1
"どーよーしすぎてまちがえたもう知らないっ!知らないっ!知らないっ!だった",0
"ちゃんと覚えてないけどなんか顔絵文字増えた??説明見るとなんじゃそりゃ?てのもある。←がっかりしたが安心した顔。←眠い顔",2
"とかいいながらいまのアイコンプリじゃないよな?まず、なぜ前髪そんなうまくできるんだ←。残念ながらさすがの私もネガになるかも...",4
"電波悪くて応答鈍かったんだ〜!。うへえ...ありがとう。あさひちゃんのコラボも見たいよ",1
"せめて邪ンヌを仲間にしたい...ハアハア",5
"DJ楽しかった!!(^^)♪♪。明日5時起きどうしよ",5
"エンジン割れてるってこと～??流石だなぁ。",4
"(╭☞•́⍛•̀)╭☞それな。ちまちま描くから集中力全然持たないし(私だけかも)。いやいや!それはこっちの台詞だよ...指とは思えない綺麗さで羨ましい",2
"あっ!さッちゃんも。うちさ、ホントに制作中止続きで、何としてもGETしたいって意地になって参加したけど、ことごとく連絡取れないとか制作中止の事態に...。自分疫病神なんじゃないかと本当に思ってたヒョンライン参加したけど、何一つ届いてない(泣)もう泣けてくる",1
"おはようございます、台風過ぎました。今日もがんばるんば←",2
"朝イチで万太郎の周回してましたが落ちずでも負けることはなくなって成長を感じます笑。",3
"おはももか。5:00起きからの労働中。今日も一日がんばりマツコ\(^o^)/。モノノフの皆さん〜「いってらっしゃーい」。",0
"Zaynの買った動くロボットってなんだろーな?",0
"僕もケース買おう。RT。。お薬ケースを手に入れた今まで会社においてたサプリ一式も小分けにして持ち歩けるやん",0
"(*。́▿`*)ゆみさん!おはよう☆。うん♪笑顔を忘れずに。良い一日を、今日もヨロシク!",0
"ストパタグ反応いただきありがとうございます!ストパでリカルドしていたDakaraと申します初回のみ定型文で失礼します。良かったら仲良くしてください。フォロー失礼します!。って、メグメグ..?メグメグ!?池ハロルチアーノ初出しので挨拶させてください",0
"1年とか死んぢゃう",2
"朝起きて時計見て。うわ今日テストやん!ってなって。ショックやった",4
"しごおわだぜー",0
"さえちゃんお家に電話したのに出なかった明日朝には行くね",3
"おはようです!今日はお天気です!お友達が来てくれるってまた用事がはかどりますよね!ささーとやって!お友達と楽しい一日になりますように!今日もよろしくです!",0
"おけい",3
"あのバカしてた頃が懐かしいなってなる。制服っていいなって",2
"誘導するのめちゃくちゃ上手そう赤井さん(笑)皆知らない内に友情エンド...零くんだけ以上に難易度高いです難しい。ってレビューに書かれるやつw。あかあむ横目に見ながら自分はキッドと付き合う最高じゃん...w。ふふふ..あかあむ勢にバカ売れするの間違いない...ただし他CPなし赤安のみ笑",3
"明日大丈夫ぅ",1
"おはよー。お弁当作りお疲れ様。今日も元気によろしく。今。薬もらいに病院です",0
"ハルちゃんオハよぉ。こりゃ凄いわ。アゴ外れるよ〜Σ(゚◇゚;)ゲゲッ。まだまだ暑いけどもうちょっとだけがんばろぉね。。今日もよろしくね〜(*^o^)ノ⌒☆+゚・",0
"風邪キャー",4
"",5
"去年のワイじゃないか...辛かった",2
"バルサン手に入ってないから、取り敢えずボンの部屋から見直すよ",2
"静かにしやがれ",3
"むかぁ〜",3
"だって、ゆうまやらんとか言うから。",5
"今日いきなり寒いな突然の秋到来かーーー",4
"つーやんさん、おはようございます^_^サンデバほぼリクhitおめでとうございます",0
"おはようさんでございます。。なんとか、無事に朝を迎えられて。ビーの散歩も行って来た。。風おさまったけど凄い湿気。工事現場のフェンス、おっちゃん一応留めとかはったけど、何かやり方がずさん。コーン倒れて道に転がってたけど立てたらへんだわ。風の音でビーが怖がり、ほとんど寝不足の朝",3
"レモン全く思いつかなかった。初チューレモン?んなやつおらん(笑)",5
"おはようございます",0
"今日は息子のメガネを買いに行く(๑و•̀Δ•́)و。一年前に買ったメガネ無くすバカぁ(TдT)。もう安いのしか買わないからな。街へ行くのでカルディとかスタバに行きたいわぁ",3
"フォローはずれてた",4
"わーー。テストやー。ほんま頑張らな～(。́・_・`)。今日みたいに、寝過ごして朝勉できひんことにならんようにしやな...。まぁ、とりあえず全力だそっ",4
"起きたらえりりんとももで一つの寝袋に一緒に入ってたまじバイブスモンスター",4
"野生の何かwwwクマちゃんどうした!?。煩悩は何よりも強いさ。大...事?うん...凡吉くんが必死になって止めてくれるよね!陰原くんのために、陰用きちくんの耳をチクチク縫ってあげる凡吉くんを想像したら和んだよ!",4
"おはようございます。LINEお一人様グループ。無事に作れました。教えてくれてありがとう(*。́∀人)。‹‹\(。́ω`。)/››。‹‹\(。́)/››。‹‹\(。́ω`)/››",0
"TLをとめちゃん色にそめたげる。",3
"兄と話が全く噛み合わない。。兄『コンビに行ってくる』。私『あー。(アーモンドチョコ持って)食べる?』。兄『だからコンビに行ってくる。』。私『食べる?』。兄『コンビに行ってくる』。私『だから食べる?』。兄『コンビに行ってくる』。食べるか食べないかハッキリしろ。",3
"いろいろショック過ぎて立ち直るまでに時間かかったわ",2
"あー、どっキュンだこりゃ",5
"おはよ〜テスト勉強しなきゃ〜",1
"おんねる移動で一緒なれ",3
"にんにく臭くなるんじゃ",4
"こーるみー後夜祭お疲れ様。たっくさん楽しめたかなぁ?。ゆなも絶対いつかそうゆうイベントに行きたいです笑っ。会いに行きたい~~~笑。お疲れ様でしたっ!笑",3
"電磁気だりぃー",4
"大丈夫ちゃいます!!!!あした寝坊したらダメですよ!!!",3
"また年末に嫌な事おきそーな予感。ほんまなんもありませんように",5
"あと2日がんばる、、、",2
"KEIちゃん。あみちゃんおはよう。ジヨンはこれぞジヨン!って。感じよね(♡ॢ˃̶̤̀◡˂̶̤́♡ॢ)。あみちゃんジヨン率上昇?。浮気しとるし〜www",0
"激ギレブリブリ丸",3
"え!!!!!そおなん!?",5
"あらピアノも出来ちゃうんですね",0
"んね!うちもびっくりして部屋で1人で喜んでたバカ犬、misty思い出して泣きそう(。˶。́⚰︎`˵。)笑笑。そっかそっか私は今日から新学期だべももちゃんのツイートまた楽しみにしてる〜",4
"うーんこの湿気",2
"今夜は会社の決起大会と称した飲み会個人別にもっと決起して欲しい人間の集まりだ。成績不振者の傷の舐め合い、仲良し集団の結束の場にしか見えない",3
"大丈夫でしたか?",4
"あはは(*。̄∇。̄*)。眺めて",0
"隙間時間はえすり開く!位にそこそこ頑張ってはいるんですけど1位の人ptすごくて「えっ?寝てる??大丈夫??!」ってなります。そうなんですよ...まだ折り返してもいない地獄......最初は300ptくらい取ってれば500位余裕なのでは〜とか思ってたのに。ふえ〜〜頑張って称号とりましょ",2
"乙女座ー",0
"今日のNHKスタジオパークからこんにちは→岡本夏生がゲスト!どんな格好で出るんやろ〜?。NHKって、たまにぶっ飛ぶよねー。",5
"コレどストライクなんやけど。こういう派生商品って。すぐに店頭から消えちゃうから悲しい。。いつ居なくなるか分からないから。買えるときに買っておこう",2
"な、なんと、、、、。君の恋人になったらとかとっっっってっっっつっっつもっっっなくきになる。",5
"そかそか～(∵)。まぁ考え方次第なんだけどね",5
"前も騒いでたの用紙じゃなかった?",2
"ありがとうございますもしできれば明日もしていただけませんか?",5
"下手なりに楽しいからいい笑笑。それは同感ー",4
"おはまいやん!。今日から学校が始まる。なんだかんだで行ったら楽しいけど行くまでがな...。頑張ってくぞー。",2
"こっちは暑かったよ",0
"今日もお勉強頑張るよ",5
"「」この顔文字好き笑笑。1。2。3。4。5。6。ほら、アホになれる。",5
"うらやまぴー",1
"今週は明日のZIPと金曜日のMステのために頑張ろ",3
"朝7時って大変!。良台掴めるなら17時間稼働なんて天国ですけど、そんな簡単じゃないですよね～。今日も頑張ってくださいね!。",4
"ありがとう",3
"いつになく真剣な表情。。。。。",3
"らんさん、おはようございます。こちらは午後には晴れるとの予報です。。今日もよろしくお願いします。",0
"ゆうかさん、ジミーマッキーの解説ありがとうございます。他にも「気づいたら居なくなってた」って仰ってる方居て笑いましたwwwww。いや、Jr.あるある...。なかなか可愛いお顔してたみたいですねぇ...",4
"前髪短すぎて死にそう今日の行事で司会しなきゃいけないんだけど不安でしかなくて吐きそう",2
"おはおーん。ちちさんメイン5枚だけ......。。ツール王家につかててジェムがっがっ",4
"あぱーーー",2
"ツライよ。受験生やめたいって毎日。思ってる。やんね。リナも。会いに行くことを。目標にして頑張る",1
"夏に向けてチームの状況が気になる時期ですね広島市から三原まで行って、遠征で不在だった時にショックなので。お聞きしました。お仕事忙しいようで、体に気をつけて頑張ってくださいね!!",0
"むっちゃんおはょー!朝になっちゃった。見守りたいねぇ...♡♡控えめむっちゃん...あの子の一日24時間を観察してみたいww",5
"がーんイヤホン忘れた・・・",5
"おっはよー",0
"もう限界だ、",3
"(。̄・ω・。̄)ヨロスク(。̄・ω・。̄)。末永く幸せになるんだぞ(?)",5
"まふゆにふられた。。もうどうしたらいいかわからないまふゆがいないとわたし。。だめ。。いきていけない。。どぉして別れようとかいうの。。あんなに仲良しだったのに。もう過去にはもどることはできないのかな。。わたし。。。わたし。。うわあああん",4
"うたた寝しちまってたよ",2
"ひぃぃぃいいい(。́;ω;`)。ももちゃんありあと。なんでまなかのこと知ってるの。戦前話しかけてくれれば話します!笑。早くあって話まそ!!",1
"もういい、明日やる",3
"部活あるらしい...",5
"最近繋がったばかりだけど結構ふぁぼくれるよね、ありがとう。",0
"おはよう～",0
"たけるの顔変わりすぎてびっくり",5
"電車ってこんなに揺れたっけ?。酔ってきた気持ち悪い",2
"なら行きたい学校行かせてって感じよな...。バイトしすぎで体壊さないでね...",1
"この台風の日の独特な湿度感",4
"あああこんなクソツイに...お優しい...。はるさんリアル成人くらいですか?。若さがうらやましい~",1
"眠い～寒い～怠い～",4
"おはよーもう、マスコミは終わったねww選挙の事もやってるけど、切り取ってしか報道しないし、早く国会中継見たいわww",0
"おはおは(๑˃̵ᴗ˂̵)。おおっ〜と。やっとトクできたね〜おめでとう",5
"なんか東神奈川行きに乗ってる!大学3年生なのに間違えた",4
"なんか連絡あるまで起きてようかと思ったけど、さすがに無理っぽいもう寝ます。気をつけて帰らなんよ。おやすみなさーい",0
"ロングシフトいってきます",1
"田村さん34歳のお誕生日おめでとうございます*\(^o^)/*。テレビや劇場やツイッターなどでいつも田村さんに沢山の笑い・幸せもらってます!ありがとうございますこれからも麒麟さん大好きです♡9/9の単独ライブも京都から参戦します、楽しみにしています!",0
"ほだよ〜。だいじだよ。そうだよ。大丈夫だよ。森の変な騒動。落ち着きますように...",0
"お、肉体改造ですか俺もちょっとたるんできた脇腹をどうにかせんと。来月宇都宮マラソン大会も走るから、今のうちに軽く走りこんどかないといかんなぁ",0
"朝起きて描きなおしました。ビートルズ。/。ラバーソウル。...うっ、うわぁー!!ジョンレノンを間違えてジョンFケネディ描いちゃった。。。。",1
"【拡散希望】どなたか子猫飼っていただける人いませんか?捨てられてしまったのか母親とはぐれてしまったのかわかりませんが、目も開いていない状態で公園に一匹でいました。シッポの長いキジトラです可愛がってくださる方ご連絡下さい。",1
"ありがとう、もうほんとに助かる、御言葉に甘える!!!",1
"最近横浜線珍しくちゃんと動いてると。思ってたらテストの日に遅延起こすとか使えなさ過ぎでしょ。やっぱり軟弱体質は変わらないね←",3
"もうなかなか4体同時にあぁやってステージあがったりするのないですよね。気に入っていただいて。笑。しかもアンパンマンでかわいさまである最強さ",1
"田尻桜の生徒。バス到着時に交通の妨げ",3
"お!サッカー良いですね!。爆絶も予約出来ればいいのにな。。。はい、頑張りましょう╰(*。́)`*)╯♡",0
"ありがと♡。ゆうって呼ぶ!!(笑)",2
"ゴリゴリして美味しくない",5
"文化祭って感じしない!。つまんなすぎ",2
"おはようございます。また寝てました。お休みが不定期だと計画立て難いですよね。私も、お休みの融通利かなくなってきたり、病院通いで、気が付いたら10年LIVE行ってませんでした。地方楽しそうですよね。お互い、次のツアーはもっと行けるといいですよね",4
"塾、ちびっこたちが多くて全然うちの勉強見てくれないこっちは早く帰りたいんだよ",3
"うえっ。えっと誰でしたっけ..................。。嘘です。はい、よろちくね",2
"寝すぎた〜。学校の課題やりそびれた。今日も授業だが、ペンケース忘れた。やる気ゼロだぁ",2
"もうなくなりそうですか?",1
"はんにゃのギャグ『ズグダンズンブングンゲーム(4年前に流行)』とオリラジのギャグ『武勇伝(8年前に流行)』を使った『ズグダン武勇伝謝罪』も面白いそれぞれのギャグって随分前のものになるんだねぇ",5
"陰キャは俺の為にある言葉や。軽々しく使う事なかれ。君達は太陽に燃やされた事があるか?。俺はない。そゆことで",3
"何様って感じ",3
"お友達さんは結婚できてはるから羨ましいです結婚したいし、子供も産みたいですが...今年で30ですからね",1
"【求人!】。「フットサルやサッカーわからないから不安」。安心してください、大丈夫です。一からスタッフがちゃんと教えます!。女性の方も大歓迎です。たくさんのご応募お待ちしております。ご応募はこちら⇒",4
"お疲れ様だよー。こいたしゃだって疲れてるだろうに...。無理しないでね;;;;",1
"ホテル帰ってきたの2時半とかで。そこから即寝して朝シャン浴びたけど......。とりあえず寝不足やしとりあえず二日酔いやしとりあえずだるいって感じで無理。今日俺講習せなあかんのに",2
"やぱり風邪だったの?",5
"の子さんおはよう〜!今日は運動会だよ!。クソめんでぃー",2
"こっちはもう雨降ってるしめっちゃ寒いよ。お休みまったり楽しんでね。お仕事行って来まーす",1
"ちんちゃ?。・°°・(>_<)・°°・。ごめんんんんp_q怒りマークだったのよーん。・°°・(>_<)・°°・。これだったら見えたかなぁ...",3
"ええなー",1
"失くしたんか(。̄◇。̄;)。SHUREはステム細いから装着感と遮音性がかなり良いよ。そのせいで壊れやすかったりするけどw",2
"そういえばね。。携帯変える前とかすごい携帯調子悪くて。。LINEうまく動かんかったりもしたのね。。もしかしたら全然へんじ返せてない人いるかも...ごめん。もう直ったと思うけど、返事できてなかった人申し訳ない(。́×ω×`)",1
"まさかの。笑。頭痛からの吐き気があんなにつらいとは知らなかったよ。あとひくし",4
"ダラヽ(;▽;)ノ。けいためヽ(;▽;)ノ羨ましい。",3
"なんかいいかもとおもった",5
"アプリとれたから久しぶりやったら無課金でいけた。じょんすくんだけに全神経を注いだ!!他グルのカードは全部この人に当てたからすっからかん(。́・_・`)。",1
"良かったぁ。こっちは直撃してないのに雨と風がヤバかったわしかも蒸し暑いし不快指数MAXだよ",0
"ウンビ姉さんの筋肉に誰も称賛の声をあげていないのはどういうことなんですか????。",3
"寝不足と涙で仕事なうだけど顔パンパン笑",2
"ダメです、火力が足りません!。ころパパ、出動できますか",1
"いいや、ちゃんとお母さんに相談しよう。多分取り合っては貰えないけど私がそう思ってるってことをちゃんと知っていて貰おう。少しは母らしいことしなさい",3
"辛すぎて仔サンジとサンジを直視できないので、先週、今週号は全頁切り取って保管箱へ。サンジ無事奪還後ならちゃんと読めるかも。。アニメも辛い。仔サンジ見て朝から号泣で一日屍決定。",2
"そらちん...ハッスルし過ぎてこの後ヘトヘトになった事は言うまでも無い(笑)。I'm。playing。until。exhausted.by。Sora。。。。",5
"オェェイェイェイェ",2
"No。がーるふれんどだよ。てか、ゆりなさんって大人なの!!?。てっきりJK。かとおもった",5
"ほんま、明日家くんなよ。デレラまた月曜日ね?。覚えといてね?",3
"激のあとの、あの暑さ、ほんと、嫌だ(>_<)。しかも今日は蒸してるから、髪も乱れるし",4
"I'm。a。celebrityはほんとにエグい",4
"今晩はSoftBank岩槻店です。本日の営業は終了いたしました。また明日も皆様のご来店を心よりお待ちしております",0
"お返事ありがとうございます!。いただいていたのに遅くなってすみません。田舎からの遠征でしたので、昨日は帰省中でした。B'z仲間増えるのうれしいです!!!。私もフォローさせていただいてもよろしいですか?。また、楽しそうな投稿をゆっくりみさせて下さい!",0
"なんか......世も末。気分が悪くなる。法律ってなんだろうね。あ、某事件の感想です...",4
"な、なんだって?。「まだ学校の課題終わってない」だと?。ふ、ふざけるな。できる生徒なら、「魔剤ブースト」。他の生徒を凌ぐスピードと徹夜で速攻終了。まだTwitterしてるような人はもう「無理」かな...。お腹痛い",3
"えっ意味がわからない...笑",1
"そうだね(^-^)/。それが相鉄あんまり使わないんだよね。つかうのバイト帰りの土、日くらい。バスで横浜まで出ちゃう。あの広告見たことない",1
"きちんと改めて、神社案内の看板を読みましたら、凄い神社なのですね。御守りをと考えてくれた気持ちが、とても嬉しくて大切にします!。本当にありがとうございます。",5
"覚えてるヽ(;▽;)ノ逆に覚えてくれてて嬉しい。またよろしくね!",1
"酔っ払った私を籠原までお迎えきてくれたひとちゃんありがとうーらぶ!!。あー気持ちわるいー",1
"エッ。25ですか?。そしたら楽勝でしょfight。私は夜月例会が有りますがHDは。ありません。。おそらく優勝ラインは4Gで1,000前後。だと思います。。なので850以上で10位以内を目標にします",5
"かほちん実習なのかよしっかり準備してぶちかましてきてくれ(^-^)/",4
"早く帰りたい。。やっぱ派遣だめなやつ",1
"ありがとう!おやすみなさい",0
"お～もう。セミの声が聞こえてきてるんか～。夏やな～",0
"見るよ",2
"そんな発言してたのか!普通にもう卒業してるやろなーとは思ってたし、今でもそう思てるで!",5
"是非こんなれのでよかったら濃ゆく濃ゆく行きましょう",2
"ぎゃー(>_<)ぶらイヤ〜んでもすきRT。。ジュベールwww。",5
"好みのアンプ探さなあかんな、、。ディーゼルとか置いてないよう...。有益な情報サンクス!",1
"はーん!?。パワーアップキャンペーンって、ま!?。まじで、ま!?。",4
"甲子園ソングとか嬉しいヽ(●。́∀`●)ノ。あんまり見たことないけど。せっかくやしみよっかな。朝からテンションあがる",0
"えっ、にゃんこちゃん入院してるの?えっ、えっ、体調崩しちゃったの?大丈夫?じゃないよねにゃんこちゃん点滴だけだと体力つかないよね...体力が回復して早く元気なにゃんこちゃんに戻ってね遠い日本から早く退院できるように願ってるからねーーー",5
"今日はTLが陽だまり祭りだ潤担さん、ほんとかわいいなぁ。自分たちで楽しむのがじょうず",0
"家の前で不良に絡まれる夢を見るという目覚めの悪い朝www。おはようございます",0
"今から帰るよクタクタや",4
"ハジ→。お誕生日おめでとう。もぉこれいうの何回目だろうね。ハジ→の音楽とライブは初心に戻れる場所。しんどい時に寄り添ってくれる場所。大好きなみんなに会える場所。いつもそんな場所を作ってくれてありがとう。今までまこれからもそんな場所を作ってくれるハジ→が大好きです",1
"あみありがとう(。́°̥̥̥̥̥̥̥̥д°̥̥̥̥̥̥̥̥`)。みんな頑張ってるんだって。自分に言い聞かせてがんばるね",0
"彼氏と電話するとほんとこんな感じ",2
"文面の威圧感が半端ない件について...",4
"おはようございます",0
"あら、バレるの早かった",5
"寝る...たまと寝る...子供体温抱きしめながら寝る...",1
"あかん古典の先生ほんま無理(T_T)。前髪目にかかってるのにどけないの見ててうっとうしい。自分のピン留め貸してあげたくなった。笑",3
"wwwwww。おばろう(。̇꒳。̇。)。神だべ笑笑笑",5
"まじ長いっす笑。人生で1番長居2週間でしたわ",2
"メインボーカルは迫力ある歌声でなんと13歳今月14歳。そしてダンスのクオリティも高いし、中西里緒を筆頭にビジュアルも高いので。天草のグループですが、遠征もかなりな頻度でやってますので機会があれば是非",5
"おはようございます。今日もよろしくです",0
"週間天気予報みてビックリ今週やばいね。こまたんおはよー!ぬくぬくしてがんばろー!o(^▽^)o",5
"""。どうする～アイフル～。♫。""""Muppet。Show。Theme。Song""""。by。。",4
"まぢか。泣。せっかくの旅行やもんなあ～。学校ゎオリエンとかなら。授業ちゃうし大丈夫ちゃうか?(・・、)",1
"受験生わっしょーーーい入試まであと少しなんだけどね、中間テストともろ被りっていう危機的状況私には両立は困難",2
"傷口護理頭大",5
"はΣ(・□・;)。もう1時すぎてる",5
"虹のアプリてあるんだぁ。アプリ使わなくても上手いから。でもセンスいいね",0
"こちらこそです〜〜EXO好きだのね",0
"今日やった!。なんかアトムの劇やってんけど...。意味わかんなかった...笑。まぢ。やばいな...笑",5
"それめっちゃわかる(*_*)そおなんよな",5
"私立は、センター利用で合格だな。俺は、落ちたが^_^",0
"...そんな訳でね...ご報告遅くなってしまってごめんなさい...なんですけどね...1月迄の公演ではとりあえず...昨夜3ヵ所追加でお申し込み致しましたのでね...当たるといいけどな...優さん...楽ちみに楽ちみに待ってて下さい笑...",1
"ありがとーーう♡。化粧なしは苦やったけど会えて嬉しかった可愛かったって言葉そのまま返したいレベルでめちゃ可愛いくて美やった!!",2
"まだおみさんs8になってから戦ってないわ",2
"RTありがとうございます。フォロー失礼します",0
"昨夜、飲みに行くんじゃなかった",4
"ほんとな。(。∩。̇-。̇。)=͟͟͞͞⊃。飛んでくぞ!って",3
"ならよかった。めっちゃ楽しみ(*^^*)",5
"おはよう~ღゝ◡╹)ノ♡今週は毎日、バタバタして忙しかったぁ~今日も仕事で~す。昨日は休みだったんだねはは♡。昨日の二次先行も落選だったぁ。今回は何故、当たらないんだぁ~厳しいね(◞‸◟ᅇ)ショボン",1
"でも二週間我慢できてるの尊敬!!!!!わたしはしばらく葛藤します...。キャンプのときは!!!呑んで欲しいーーーーーーーー笑",2
"寂しいよ",1
"どーでもいいけどよ...。おめぇーばっくれてんじゃねぇーぞ?。もーりーしー",3
"ぇぇえぇえ(。́⊙ω⊙`)鳥のフン?!。鳥のフンなら今後もまたなるじゃん!",4
"もしファンミも昼間やったらさすがの兄さんもオゲンキデスカなんて言ってられんよね...",5
"冗談だよ。よしよし(。๑。́•ω•)۶ヨシヨシ。ヴォエ!",2
"走ったりすると痛い",4
"熱い",5
"撮らにゃいで。don't。take。",3
"オニ婆が、オニをやってあげましょうか?←オニ歴○十年",0
"《女の子にお知らせ》。雑誌『ネイルアップ』でモデルを探してます!。撮影日:6/15(金)か16(日)。撮影場所:大阪市内。3〜4時間かかると思います!。タダでネイルできて、出演料1500円もらえます!※デザインは選べません。ちょっとでも気になった子は私まで連絡ください!",1
"島根か!昔行ったことある",0
"今日は福岡にBIG。BANGとGOT7が来る日本当は見に行きたい。でも同じ所にいるのは幸せすぎる!。会えたら嬉しいな",1
"はないちもんめまたやるんけ???ってなって作り終わってから気づきました",3
"遅刻っぴーー、だる。なんで月曜から遅刻やねん。朝から3回腹痛とか。年配ばっかりや電車(笑)",3
"元の顔は忘れた",2
"満員電車吐きそう",2
"まなてぃ〜。おはよう",0
"今日は炊いたよ!水がチョット多くて柔くなっちゃった。ところでズラ猫はやめたの?可愛かったのに",1
"服選びでもう心折れそうになるなんでこんなに色がないの",1
"あーバイト疲れた。明日はゆっくりできるo(^▽^)o",5
"プレミアMelodix!を録画予約し忘れてた。再放送してくんないかなあ。前は再放送もあったんだが。乃木坂の主にアンダーメンが出てた様な?。途中まで居間で見てて自分の部屋に行った時にBD機が動いてないし電源入らないから壊れたのかと思った。他の番組録画されてるからただ単に予約し忘れた",0
"明日、花火する",0
"残念、これは無理",1
"50分も遅れてしまった。ごめんなさい、",4
"ナスのキーマカレー食べたプリシラのカレパって、どんなだろ...?",0
"今日あけおめ行ってグッズ持って帰るのだるすぎて郵便局に郵送頼んだグッズが届くよ(^O^)!!!だいごくんの誕生日に家に届けたくてわざわざ指定日にしたの!お金かけるところ間違ってるよねって姉に言われたけどそんなの気にしてない(。̇▽。̇。)グッズ荷物になるから自分で持って帰るの嫌なんだよね",2
"そういえば今日は森さんとラストだ!!︎",0
"横入りすんません(^_^;)ホントだね〜言いなさい。RT。。ほんとだよね“。お〜まだまだiTunes全てジャンルでアルバム一位(0:04)。ちゃんと芸能ニュースで言いなさいよ。",3
"みんなおはよー!",0
"なんとー!!運送屋も混乱しとるんかなー。",3
"風強すぎ",2
"同窓会に先生もいて、全然生徒だけの内輪の集まりじゃないことを知って、正直怒り心頭笑。幹事なにやってんのよーーーー",3
"多分そーだと思う!。そんなにわら",4
